日期_Date,市场溢酬因子__总市值加权_Rmrf_mc,市值因子__总市值加权_Smb_mc,账面市值比因子__总市值加权_Hml_mc
1992/7/1,-0.0291,0.0098,0.0017
1992/7/2,-0.0039,0.0198,0.027
1992/7/3,0.0159,0.0001,-0.0127
1992/7/6,-0.0082,0.0668,-0.212
1992/7/7,0.003,0.0374,-0.0056
1992/7/8,-0.0018,-0.0177,0.0307
1992/7/9,-0.0127,0.0052,0.0328
1992/7/10,-0.0025,0.0324,-0.0249
1992/7/13,0.006,0.0231,0.0308
1992/7/14,-0.0028,0.0031,0.0232
1992/7/15,-0.0086,0.0401,0.0124
1992/7/16,0.0187,-0.0174,0.0284
1992/7/17,0.0165,-0.0029,0.0066
1992/7/20,0.026,0.0006,0.0388
1992/7/21,-0.0125,0.0121,0.0015
1992/7/22,-0.0108,-0.0207,0.0058
1992/7/23,0.0102,-0.002,0.0486
1992/7/24,0.0148,-0.003,-0.0019
1992/7/27,0.0231,-0.0263,0.019
1992/7/28,-0.0314,-0.0076,-0.0218
1992/7/29,-0.0043,-0.0048,-0.0018
1992/7/30,-0.0097,-0.0055,0.0054
1992/7/31,-0.0138,0.0147,0.0036
1992/8/3,-0.0441,0.0068,-0.0355
1992/8/4,0.0238,-0.009,0.0239
1992/8/5,-0.0016,-0.0109,0.018
1992/8/6,-0.0098,0.0018,0.006
1992/8/7,0.0217,-0.0298,0.0162
1992/8/10,0.0002,-0.0749,0.0188
1992/8/11,-0.078,-0.0104,0.0409
1992/8/12,-0.0335,-0.0045,0.047
1992/8/13,0.0076,0.024,-0.0455
1992/8/14,0.0264,-0.0149,0.0074
1992/8/17,0.0472,0.0301,-0.0433
1992/8/18,-0.0091,-0.0397,0.0203
1992/8/19,0.0024,0.0248,-0.0111
1992/8/20,-0.0025,-0.0073,0.0064
1992/8/21,-0.0175,-0.0165,-0.0169
1992/8/24,-0.0262,-0.0028,0.0188
1992/8/25,-0.0361,0.027,-0.0055
1992/8/26,0.0297,-0.0107,-0.0095
1992/8/27,-0.0045,-0.0034,0.0165
1992/8/28,-0.0038,0.006,0.0088
1992/8/31,-0.0257,0.0019,-0.0008
1992/9/1,-0.0122,0.0074,-0.0156
1992/9/2,-0.011,-0.0155,0.03
1992/9/3,-0.0217,0.0024,-0.0023
1992/9/4,-0.034,0.0119,-0.0197
1992/9/7,-0.0608,-0.0302,0.0137
1992/9/8,0.0119,-0.0343,0.1146
1992/9/9,0.0167,0.0137,0.0119
1992/9/10,0.0388,0.0044,-0.0626
1992/9/11,0.0363,0.03,-0.0413
1992/9/14,-0.0415,-0.0057,0.0314
1992/9/15,-0.0002,0.0008,-0.0353
1992/9/16,0.0213,0.0254,-0.0245
1992/9/17,0.0088,-0.0111,0.0164
1992/9/18,-0.0114,-0.0037,-0.0045
1992/9/21,-0.0174,0.0131,0.0069
1992/9/22,-0.0125,0.0091,0.0123
1992/9/23,0.003,-0.0082,0.0175
1992/9/24,0.0343,-0.0071,0.0127
1992/9/25,-0.0108,0.0151,-0.0196
1992/9/28,-0.0017,0.0008,0.0035
1992/9/29,-0.0052,-0.0091,0.0126
1992/9/30,-0.0084,-0.0018,-0.0014
1992/10/5,-0.0187,0.0118,0.0137
1992/10/6,-0.0111,0.0177,0.0113
1992/10/7,0.0005,-0.0081,0.0188
1992/10/8,-0.0158,0.0048,-0.0022
1992/10/9,0.0157,0.0147,-0.0048
1992/10/12,0.0201,0.0329,-0.0083
1992/10/13,-0.0171,-0.0155,0.0158
1992/10/14,-0.0216,0.0245,0.019
1992/10/15,0.0109,0.0044,0.0076
1992/10/16,-0.0036,0.0072,-0.009
1992/10/19,-0.0457,0.0114,0.0031
1992/10/20,-0.0043,-0.0013,0.024
1992/10/21,-0.0433,0.0181,0.0158
1992/10/22,-0.0409,-0.0344,0.0337
1992/10/23,-0.0044,0.0261,-0.0281
1992/10/26,-0.0956,-0.0042,-0.0043
1992/10/27,-0.0674,-0.0116,0.0075
1992/10/28,0.0368,-0.0222,0.0171
1992/10/29,0.0447,0.0183,0.0194
1992/10/30,0.0308,0.0275,0.0141
1992/11/2,-0.0726,0.0063,-0.0044
1992/11/3,0.0154,-0.0113,0.0235
1992/11/4,-0.0244,0.0025,-0.0122
1992/11/5,-0.0099,0.002,-0.0206
1992/11/6,-0.012,0.0002,-0.0069
1992/11/9,-0.0277,-0.0163,0.0447
1992/11/10,-0.0325,-0.0421,0.0015
1992/11/11,-0.0143,0.0037,-0.0011
1992/11/12,-0.0181,0.0186,-0.0234
1992/11/13,-0.0382,0.0188,-0.031
1992/11/16,-0.085,0.0169,-0.0473
1992/11/17,-0.0217,-0.0004,0.0065
1992/11/18,0.0595,-0.0174,0.0316
1992/11/19,-0.0016,-0.005,0.0112
1992/11/20,-0.0224,0.0177,-0.027
1992/11/23,-0.0199,0.0253,-0.0424
1992/11/24,0.0574,-0.0076,-0.0479
1992/11/25,0.1686,0.0354,-0.1108
1992/11/26,0.0545,-0.1084,0.0523
1992/11/27,0.068,0.0451,-0.0517
1992/11/30,0.1422,-0.0668,-0.0285
1992/12/1,0.0126,-0.0331,0.0532
1992/12/2,-0.0114,0.0032,-0.0045
1992/12/3,0.0275,-0.0102,-0.0405
1992/12/4,0.0481,0.0236,-0.0213
1992/12/7,0.0188,-0.0282,0.0404
1992/12/8,-0.0372,-0.001,-0.0148
1992/12/9,-0.0775,-0.0357,0.0394
1992/12/10,-0.0562,0.0088,0.0113
1992/12/11,0.0979,0.0765,-0.102
1992/12/14,-0.0186,-0.0043,0.0147
1992/12/15,-0.0309,-0.0063,-0.0031
1992/12/16,0.0176,-0.021,0.0261
1992/12/17,0.0127,0.0002,-0.0348
1992/12/18,0.0034,0.002,0.0343
1992/12/21,0.0381,0.0009,-0.0064
1992/12/22,-0.0122,0.0099,0.0028
1992/12/23,-0.0007,0.0057,-0.006
1992/12/24,0.0312,-0.007,0.0098
1992/12/25,0.0047,0.0155,-0.0013
1992/12/28,-0.0054,0.0266,-0.0185
1992/12/29,0.0168,0.0071,0.0302
1992/12/30,0.0159,-0.0088,0.0257
1992/12/31,0.015,0.0017,-0.0116
1993/1/4,0.0148,0.0163,-0.0261
1993/1/5,0.0298,0.0065,-0.0119
1993/1/6,-0.0021,-0.017,0.0045
1993/1/7,0.0226,-0.0052,-0.0241
1993/1/8,0.0218,0.0478,0.02
1993/1/11,0.0721,-0.0215,-0.0078
1993/1/12,-0.0063,0.0127,-0.0166
1993/1/13,0.0279,-0.0012,-0.0095
1993/1/14,0.0287,0.005,-0.0623
1993/1/15,-0.0123,0.0082,0.0396
1993/1/18,0.01,0.021,0.0232
1993/1/19,-0.029,-0.0301,0.0464
1993/1/20,0.051,0.0038,-0.0232
1993/1/21,0.0252,-0.014,-0.021
1993/1/22,0.0227,0.0138,0.0132
