date,PE,OBV20,CCI20,MOMENTUM3M,REVS10,BETA21,CAPMALPHA21
2012-01-04,10.615,28947324.475005,72.148441,-0.193146,0.06334,1.667651,-0.294032
2012-01-05,10.5886,28986349.303915,25.670064,-0.212313,0.054253,1.596117,-0.097472
2012-01-06,10.5886,29017848.408605,4.091175,-0.167019,0.075084,1.500791,0.046708
2012-01-09,11.0189,29053945.76564,89.962997,-0.163873,0.086981,1.395575,0.184359
2012-01-10,11.6861,29125371.998455,217.74526,-0.166767,0.095737,1.495572,0.327658
2012-01-11,11.5281,29174035.160175,196.665178,-0.211981,0.087336,1.492429,0.470674
2012-01-12,11.6071,29241651.057835,174.818061,-0.213946,0.118937,1.510451,0.597234
2012-01-13,11.3437,29290758.73518,119.560807,-0.221546,0.059556,1.581721,0.706016
2012-01-16,11.4666,29367048.51956,112.0228,-0.223774,0.059757,1.462087,0.810707
2012-01-17,12.09,29455451.1555,157.070642,-0.239079,0.108256,1.258228,0.928471
2012-01-18,12.0198,29537544.35472,149.565045,-0.220533,0.146628,1.287258,1.068856
2012-01-19,12.1251,29623270.926595,135.812826,-0.210737,0.160816,1.21783,1.216949
2012-01-20,12.2832,29732248.19769,137.115839,-0.183515,0.177357,1.200216,1.357584
2012-01-30,12.2832,29828837.87269,,-0.214252,,1.144903,1.506316
2012-01-31,12.4763,29902475.625815,,-0.202713,0.074184,1.148514,1.622472
2012-02-01,12.1164,29971411.79222,,-0.183601,0.056058,1.171933,1.656762
2012-02-02,12.3446,30056815.47347,,-0.182265,0.069756,1.138412,1.675663
2012-02-03,12.2393,30120604.11097,,-0.227534,0.086868,1.105854,1.666834
2012-02-06,12.1954,30159210.907845,,-0.199393,0.069854,1.118524,1.611529
2012-02-07,11.8881,30175871.79144,,-0.186475,-0.018266,1.146272,1.543278
2012-02-08,12.1866,30221571.375035,,-0.18094,0.015185,1.130924,1.467865
2012-02-09,12.09,30262705.499255,,,-0.003167,1.087742,1.393153
2012-02-10,12.1866,30321035.725035,,-0.220599,-0.008586,1.095682,1.308791
2012-02-13,12.1515,30353847.307845,,-0.206967,,1.100267,1.253997
2012-02-14,12.0198,30350039.48128,,-0.169442,-0.039902,1.087465,1.197535
2012-02-15,12.1778,30373202.372685,,-0.118442,0.005546,0.955993,1.119161
2012-02-16,12.0725,30376005.310965,,-0.110185,-0.024065,0.95167,1.046384
2012-02-17,12.1603,30398384.885965,,-0.094723,-0.007052,0.951835,0.979028
2012-02-20,12.1603,30404828.400025,,-0.130995,-0.003147,0.923164,0.926358
2012-02-21,12.2042,30395983.526585,,-0.114737,0.029122,1.046942,0.83788
2012-02-22,12.371,30418464.531275,,-0.032278,0.016533,0.932681,0.741664
2012-02-23,12.5115,30447080.130495,,-0.033225,0.038119,0.986698,0.63177
2012-02-24,12.7046,30481383.671905,,0.003974,0.046449,1.036077,0.525905
2012-02-27,12.7397,30540233.718005,240.184619,0.005494,0.052914,1.035309,0.427762
2012-02-28,12.7222,30584843.620355,170.766844,,0.063939,1.192212,0.296715
2012-02-29,12.8012,30662423.491455,170.83677,0.04742,0.055941,1.067371,0.183184
2012-03-01,12.7661,30723012.644585,126.357237,0.021859,0.062838,0.96371,0.11715
2012-03-02,13.0295,30813468.83209,139.022332,0.067097,0.078125,1.02246,0.059134
2012-03-05,13.047,30933823.00397,149.383829,0.094323,0.079703,1.015111,0.023011
2012-03-06,12.6607,31053463.341475,68.103604,0.078019,0.040874,1.14829,-0.007963
2012-03-07,12.371,31137654.64773,-4.908992,0.102569,0.0,1.17894,-0.036773
2012-03-08,12.5115,31245995.691485,11.941796,0.109151,0.0,1.243614,-0.064434
2012-03-09,12.6871,31346747.39774,33.188735,0.133189,-0.001505,1.250885,-0.091397
2012-03-12,12.5905,31450789.568055,16.685002,0.184667,-0.012751,1.264475,-0.123975
2012-03-13,12.6432,31573611.371965,11.94801,0.148793,-0.006761,1.229301,-0.160683
2012-03-14,12.3271,31657657.732905,-12.696291,0.130058,-0.040292,1.110174,-0.178444
2012-03-15,12.1164,31733917.504,-118.374923,0.144248,-0.055381,1.133747,-0.193481
2012-03-16,12.2393,31809967.961815,-123.491179,0.154242,-0.065876,1.105561,-0.212147
2012-03-19,12.1603,31875191.89541,-131.731076,0.16129,-0.07382,1.105909,-0.241573
2012-03-20,11.9232,31922352.508695,-169.518294,0.178571,-0.063435,1.10658,-0.275886
2012-03-21,11.9232,31952571.58604,-166.666667,0.168013,-0.039498,1.115127,-0.283795
2012-03-22,11.9408,31971433.38682,-139.028034,0.252133,-0.049725,1.105813,-0.289284
2012-03-23,11.6335,31958719.68369,-158.925319,0.249474,-0.090416,1.14641,-0.307499
2012-03-26,11.7564,31928094.453995,-134.603548,0.295264,-0.072177,1.154268,-0.321091
2012-03-27,11.6598,31904645.48836,-114.758808,0.29161,-0.084707,1.153457,-0.337732
2012-03-28,11.2823,31851385.752415,-153.179544,0.315155,-0.092521,1.160319,-0.334798
2012-03-29,10.8169,31793790.17663,-193.240628,0.281017,-0.117256,1.286459,-0.364654
2012-03-30,10.773,31708691.330535,-183.890184,0.206828,-0.130857,1.266954,-0.411691
2012-04-05,11.3601,31623883.092255,-99.627382,0.242904,-0.05524,1.676522,-0.414237
2012-04-06,11.3515,31540431.1696,-57.168102,0.271325,-0.035478,1.681328,-0.440509
2012-04-09,11.4379,31488142.54851,-40.237799,0.194911,-0.027415,1.604992,-0.437673
2012-04-10,11.7921,31440416.63445,-5.717019,0.151623,0.004025,1.650675,-0.40691
2012-04-11,12.0944,31409508.590705,53.638677,0.150502,0.062127,1.705861,-0.353202
2012-04-12,12.1722,31405957.80634,91.287834,0.216276,0.057321,1.531939,-0.324156
2012-04-13,12.1895,31407984.77588,102.701098,0.20952,0.068584,1.52009,-0.291074
2012-04-16,12.129,31430187.760265,96.314455,0.215034,0.101953,1.556246,-0.250474
2012-04-17,11.8439,31459601.497775,61.469684,0.131024,0.124753,1.708567,-0.231377
2012-04-18,12.5869,31511215.95794,141.410929,0.040389,0.207357,1.893212,-0.184057
2012-04-19,12.5177,31559366.534515,147.806856,0.067771,0.111928,1.972679,-0.129398
2012-04-20,12.5264,31636202.92671,126.502085,0.052317,0.113693,1.884571,-0.073286
2012-04-23,12.5005,31699246.17828,112.103359,0.056208,0.101973,1.897761,-0.014985
2012-04-24,12.4141,31739401.89235,79.654938,0.043764,0.057729,1.90226,0.03779
2012-04-25,12.3968,31779574.53142,73.482338,-0.013501,0.027297,1.856135,0.075242
2012-04-26,12.5437,31825335.543145,87.393872,-0.035166,0.033302,1.827233,0.135029
2012-04-27,12.2067,31860348.64706,52.402562,-0.033249,0.001547,1.865198,0.164656
2012-05-02,12.6128,31939550.96191,71.343991,-0.055417,0.043539,1.829607,0.19683
2012-05-03,12.9065,32064673.92207,109.679616,,0.098149,2.009029,0.223597
2012-05-04,12.7856,32178158.0041,108.242825,-0.145028,0.017174,1.806643,0.277641
2012-05-07,12.8633,32288690.708,109.609873,-0.121217,0.030048,1.795478,0.348121
2012-05-08,12.7942,32395761.438465,105.761642,-0.070641,0.02327,1.461437,0.36788
2012-05-09,12.3622,32474501.011115,23.141544,-0.062686,-0.012037,1.559858,0.390877
2012-05-10,12.3191,32527901.696265,-21.690141,-0.051133,-0.008338,1.682966,0.378491
2012-05-11,12.2499,32545682.67282,-50.089537,0.008898,-0.012906,1.588404,0.34468
2012-05-14,12.2586,32557930.768905,-45.268817,0.009447,-0.024734,1.535596,0.283504
2012-05-15,12.3622,32565896.681395,-69.092914,0.025413,0.013897,1.721672,0.25699
2012-05-16,11.913,32568346.87748,-152.073236,0.018107,-0.060349,1.816224,0.228029
2012-05-17,12.1204,32590614.179035,-157.701915,0.015795,-0.066124,1.764481,0.189663
2012-05-18,11.818,32573067.789185,-180.414858,0.001598,-0.08222,1.747799,0.164122
2012-05-21,11.8439,32578606.31652,-158.322862,0.055153,-0.086056,1.447322,0.098281
2012-05-22,12.4659,32590972.078235,-20.805248,0.058861,-0.027876,1.710493,0.04908
2012-05-23,12.5609,32635902.066515,46.351085,0.051294,0.017514,1.768634,0.028091
2012-05-24,12.7337,32728229.15636,101.601756,0.048927,0.036692,1.688145,0.017706
2012-05-25,12.5955,32819314.208705,72.653061,0.036944,0.030764,1.6865,0.015544
2012-05-28,13.1657,32942485.01027,130.715438,0.020136,0.080695,1.879944,0.04803
2012-05-29,13.1311,33055255.674335,149.246889,0.020655,0.067773,1.694805,0.048888
2012-05-30,13.0188,33118911.160275,109.41247,-0.025579,0.101491,1.681782,0.082317
2012-05-31,12.9065,33133727.463405,75.654102,0.006751,0.070806,1.723139,0.114297
2012-06-01,12.8892,33156174.452475,75.43554,0.033804,0.099184,1.693262,0.138599
2012-06-04,12.3191,33143351.24936,-19.318455,0.016415,0.043888,1.818694,0.175096
2012-06-05,12.3277,33157933.715775,-29.411765,0.026194,-0.012074,1.813955,0.198194
2012-06-06,12.224,33178519.509535,-33.241842,-0.002196,-0.029187,1.804134,0.21965
2012-06-07,12.2586,33215701.987675,-33.733406,-0.040199,-0.040554,1.755422,0.255705
2012-06-08,12.3536,33276634.852535,-16.172589,-0.012083,-0.020892,1.725587,0.324039
2012-06-11,12.6387,33335802.591615,15.835533,0.00697,-0.043379,1.715361,0.391331
2012-06-12,12.7078,33394949.198665,44.32133,-0.00459,-0.034945,1.705882,0.466228
2012-06-13,12.8892,33480891.81665,70.519501,-0.010549,-0.010798,1.604453,0.512662
2012-06-14,12.7856,33547572.78854,58.267717,-0.041787,-0.010173,1.516989,0.57189
2012-06-15,12.6128,33611572.79871,4.301075,-0.027984,-0.023286,1.52487,0.625088
2012-06-18,12.7856,33674423.594035,26.63174,-0.027989,0.041278,1.491835,0.682536
2012-06-19,12.3968,33698751.044045,-52.242574,-0.00713,0.006111,1.602851,0.750014
2012-06-20,12.129,33684177.850305,-135.122589,0.038395,-0.00848,1.406753,0.762227
2012-06-21,12.0685,33626973.61125,-158.102619,0.054451,-0.016907,1.306702,0.755912
2012-06-25,11.9389,33570968.147195,-136.208354,0.093533,-0.03658,1.21704,0.732051
2012-06-26,11.9389,33470653.58314,,0.080632,,1.214863,0.704534
2012-06-27,11.8698,33398550.944085,,0.132024,-0.071682,0.992816,0.630048
2012-06-28,11.8266,33335148.194875,,0.161531,-0.089507,1.091021,0.594644
2012-06-29,12.0253,33293473.133165,,0.13757,-0.064601,1.115687,0.554238
2012-07-02,13.3738,33258587.85505,,0.137167,-0.055133,1.101226,0.513476
2012-07-03,12.9299,33211321.69881,,0.177347,-0.102775,1.026755,0.45926
2012-07-04,12.3992,33130089.858975,,0.174116,-0.113878,0.798548,0.366157
2012-07-05,12.2737,33047382.003515,,0.18031,-0.102628,0.762267,0.274888
2012-07-06,12.679,32972972.063675,,0.083528,-0.064884,1.019146,0.213888
2012-07-09,12.2062,32870779.45196,,0.087778,-0.092549,1.159378,0.133099
2012-07-10,12.2834,32766830.277745,,0.087879,,1.180872,0.038525
2012-07-11,12.5343,32668228.99259,,0.078576,-0.059704,1.18594,-0.048625
2012-07-12,12.3413,32539413.69806,,0.055374,-0.071931,1.095775,-0.165868
2012-07-13,12.4571,32438038.33947,,0.064281,-0.079265,1.093207,-0.262608
2012-07-16,11.7527,32324322.765255,,0.053356,-0.132471,1.360269,-0.382684
2012-07-17,11.772,32212238.994165,,0.043539,-0.098184,1.382658,-0.485232
2012-07-18,11.5308,32096825.191825,,0.086977,-0.077108,1.324509,-0.613705
2012-07-19,11.6851,32014567.1012,,-0.016428,-0.05285,1.337904,-0.714244
2012-07-20,11.3667,31929647.38714,,-0.033804,-0.113693,1.374934,-0.780236
2012-07-23,11.193,31842625.7223,,-0.039784,-0.091527,1.436652,-0.851731
2012-07-24,11.2027,31765039.68246,-132.214784,-0.048902,-0.096953,1.642693,-0.927096
2012-07-25,11.222,31693075.91098,-113.787066,,-0.115137,1.593935,-0.996228
2012-07-26,11.1834,31619504.55356,-101.134963,-0.04631,-0.103341,1.578969,-1.03619
