date,PB,CETOP,AR,DAVOL21,VROC12,AROON,EPIBS
2012-01-04,2.1965,0.0583,84.078212,,128.032614,92.307692,
2012-01-05,2.055,0.0623,85.149864,,70.710591,100.0,
2012-01-06,1.9458,0.0658,85.868102,,181.903771,100.0,
2012-01-09,2.0898,0.0612,109.538462,,339.713501,96.153846,
2012-01-10,2.2139,0.0578,121.350078,,477.49105,92.307692,
2012-01-11,2.199,0.0582,131.343284,,306.666274,76.923077,
2012-01-12,2.1841,0.0586,141.666667,,260.725223,76.923077,
2012-01-13,1.9657,0.0651,116.296296,,282.701607,76.923077,
2012-01-16,1.8863,0.0679,110.144928,,72.464536,76.923077,
2012-01-17,2.0203,0.0634,119.427711,,-5.079926,73.076923,
2012-01-18,1.9458,0.0658,114.431487,,100.849987,69.230769,
2012-01-19,1.9359,0.0661,116.248154,,23.423567,65.384615,
2012-01-20,1.9657,0.0651,128.709677,,-45.376095,61.538462,
2012-01-30,1.9508,0.0656,126.375405,,-30.01925,57.692308,
2012-01-31,1.9409,0.0659,132.367973,,-67.311433,42.307692,
2012-02-01,1.916,0.0668,120.495868,,-72.405431,42.307692,
2012-02-02,1.9409,0.0659,116.442953,,-76.860547,42.307692,
2012-02-03,1.9806,0.0646,118.94198,,-40.271271,42.307692,
2012-02-06,2.1791,0.0587,139.816514,,24.205648,26.923077,
2012-02-07,2.1891,0.0585,146.35514,,91.373251,26.923077,
2012-02-08,2.2039,0.0581,136.347197,,223.13672,26.923077,
2012-02-09,2.2486,0.0569,134.525939,,146.791697,26.923077,
2012-02-10,2.2089,0.0579,137.681159,,95.275683,23.076923,
2012-02-13,2.2734,0.0563,166.108787,,267.619024,19.230769,
2012-02-14,2.2337,0.0573,165.12605,,131.0592,-15.384615,
2012-02-15,2.338,0.0547,167.484663,,488.109126,-88.461538,
2012-02-16,2.338,0.0547,158.299595,,433.721499,-92.307692,
2012-02-17,2.2834,0.0561,146.031746,,236.137353,-92.307692,
2012-02-20,2.2834,0.0561,150.833333,,175.465039,-92.307692,
2012-02-21,2.2734,0.0563,134.567901,,30.342956,-69.230769,
2012-02-22,2.3777,0.0538,135.983264,,39.266693,-84.615385,
2012-02-23,2.3578,0.0543,139.224138,,-53.384495,-84.615385,
2012-02-24,2.4025,0.0533,129.741379,,-10.195079,-84.615385,
2012-02-27,2.4124,0.0531,163.020833,,-6.560885,-96.153846,
2012-02-28,2.6408,0.0485,196.721311,,163.663661,-100.0,
2012-02-29,2.5216,0.0508,171.356784,,25.337511,-96.153846,
2012-03-01,2.5713,0.0498,194.623656,,48.356177,-69.230769,
2012-03-02,2.6159,0.0489,193.650794,,-43.323906,-69.230769,
2012-03-05,2.6259,0.0487,205.405405,,-23.05439,-84.615385,
2012-03-06,2.5514,0.0502,192.346939,,-9.382247,-84.615385,
2012-03-07,2.5266,0.0507,206.842105,,-19.837638,-84.615385,
2012-03-08,2.5514,0.0502,220.32967,,-32.656097,-84.615385,
2012-03-09,2.5911,0.0494,221.978022,,-62.060141,-84.615385,
2012-03-12,2.5762,0.0497,212.903226,,-47.520862,-80.769231,
2012-03-13,2.5713,0.0498,192.063492,,-56.661308,-76.923077,
2012-03-14,2.4621,0.052,176.328502,,-10.253925,-69.230769,
2012-03-15,2.3231,0.0551,152.542373,,-65.094434,-69.230769,
2012-03-16,2.3727,0.0539,151.948052,,-57.435555,-57.692308,
2012-03-19,2.3926,0.0535,149.130435,,-65.319174,-57.692308,
2012-03-20,2.3032,0.0556,136.97479,,-51.881435,-57.692308,
2012-03-21,2.2983,0.0557,133.061224,,-59.474383,-34.615385,
2012-03-22,2.3032,0.0556,125.409836,,-54.627113,-34.615385,
2012-03-23,2.2536,0.0568,116.733068,,-52.858936,-34.615385,
2012-03-26,2.2536,0.0568,,,,-34.615385,
2012-03-27,2.1891,0.0585,,,-48.310494,61.538462,
2012-03-28,2.0699,0.0618,,,-29.305016,65.384615,
2012-03-29,2.1096,0.0607,,,-13.85835,69.230769,
2012-03-30,2.0848,0.0614,,,-83.35316,69.230769,
2012-04-05,2.1917,0.0268,,,-31.770776,69.230769,
2012-04-06,2.172,0.027,,,-43.569689,69.230769,
2012-04-09,2.1374,0.0274,,,-52.36692,69.230769,
2012-04-10,2.172,0.027,,,-36.804154,69.230769,
2012-04-11,2.172,0.027,,,-16.421584,69.230769,
2012-04-12,2.2263,0.0264,,,105.649209,69.230769,
2012-04-13,2.246,0.0261,,,80.530097,69.230769,
2012-04-16,2.2904,0.0256,,,,42.307692,
2012-04-17,2.2263,0.0264,,,34.584236,42.307692,
2012-04-18,2.2855,0.0257,,,70.415136,42.307692,
2012-04-19,2.2855,0.0257,,,7.175722,42.307692,
2012-04-20,2.3842,0.0246,,,327.219631,42.307692,
2012-04-23,2.2806,0.0257,,,7.716948,42.307692,
2012-04-24,2.2213,0.0264,,,66.23976,42.307692,
2012-04-25,2.3053,0.0255,,,218.217777,-50.0,
2012-04-26,2.3398,0.0251,,,239.111977,-50.0,
2012-04-27,2.5718,0.0228,,,785.582458,-69.230769,
2012-05-02,2.8285,0.0207,,,647.835102,-73.076923,
2012-05-03,2.8186,0.0208,,,528.695926,-76.923077,
2012-05-04,2.7841,0.0211,,,160.012307,-76.923077,
2012-05-07,2.789,0.021,,,253.797445,-76.923077,
2012-05-08,2.8285,0.0207,146.183206,,105.690159,-76.923077,
2012-05-09,3.1,0.0189,179.435484,,783.714346,-92.307692,
2012-05-10,3.1049,0.0189,212.719298,,307.287847,-96.153846,
2012-05-11,3.0112,0.0195,202.857143,,348.061372,-96.153846,
2012-05-14,3.0112,0.0195,,,,-92.307692,
2012-05-15,3.0161,0.0195,,,324.956249,-88.461538,
2012-05-16,2.9717,0.0197,,,135.329975,-76.923077,
2012-05-17,2.8433,0.0206,,,-39.199522,-76.923077,
2012-05-18,2.6162,0.0224,,,-66.99008,-76.923077,
2012-05-21,2.6064,0.0225,,,-74.930377,-73.076923,
2012-05-22,2.6311,0.0223,,,-55.736578,-38.461538,
2012-05-23,2.5965,0.0226,,,-59.334067,-38.461538,
2012-05-24,2.636,0.0223,,,-36.603817,-38.461538,
2012-05-25,2.7199,0.0216,,,-67.185352,-38.461538,
2012-05-28,2.8532,0.0206,,,-61.754341,-38.461538,
2012-05-29,2.8631,0.0205,,,-59.295159,-38.461538,
2012-05-30,2.8186,0.0208,,,,-38.461538,
2012-05-31,2.71,0.0216,,,-67.809086,-38.461538,
2012-06-01,2.6409,0.0222,,,-63.876039,-38.461538,
2012-06-04,2.5225,0.0233,,,-58.724159,-34.615385,
2012-06-05,2.5471,0.023,,,-73.885123,-30.769231,
2012-06-06,2.5521,0.023,,,-56.643245,-26.923077,
2012-06-07,2.5126,0.0234,,,-33.075988,76.923077,
2012-06-08,2.4237,0.0242,,,1.216623,80.769231,
2012-06-11,2.4632,0.0238,,,-41.9289,84.615385,
2012-06-12,2.4188,0.0243,,,-79.734041,84.615385,
