time,code,open,high,low,close,volume,amount,open_interest
2012/1/4 15:00,sse.600031,12.61,12.73,12.07,12.09,235312,291954496,
2012/1/5 15:00,sse.600031,12.01,12.25,11.96,12.06,166082,201146176,
2012/1/6 15:00,sse.600031,12.06,12.11,11.77,12.06,164071,195198672,
2012/1/9 15:00,sse.600031,12.11,12.58,11.94,12.55,245945,304642016,
2012/1/10 15:00,sse.600031,12.54,13.5,12.4,13.31,551161,717789250,
2012/1/11 15:00,sse.600031,13.33,13.35,13.02,13.13,340102,447262016,
2012/1/12 15:00,sse.600031,13.09,13.5,13.02,13.22,233771,310491872,
2012/1/13 15:00,sse.600031,13.25,13.31,12.81,12.92,220480,286616512,
2012/1/16 15:00,sse.600031,12.86,13.35,12.78,13.06,318721,420735040,
2012/1/17 15:00,sse.600031,13.2,13.92,13.04,13.77,455270,615766210,
2012/1/18 15:00,sse.600031,13.79,13.95,13.56,13.69,287686,395761664,
2012/1/19 15:00,sse.600031,13.7,13.96,13.64,13.81,252714,349086816,
2012/1/20 15:00,sse.600031,13.88,14.3,13.7,13.99,304364,424749632,
2012/1/31 15:00,sse.600031,14.22,14.62,13.95,14.21,571887,820045250,
2012/2/1 15:00,sse.600031,14.21,14.22,13.7,13.8,267972,374584992,
2012/2/2 15:00,sse.600031,13.8,14.1,13.8,14.06,185498,259299648,
2012/2/3 15:00,sse.600031,14.06,14.09,13.79,13.94,240965,335718624,
2012/2/6 15:00,sse.600031,14.03,14.08,13.8,13.89,191040,265704416,
2012/2/7 15:00,sse.600031,13.82,13.82,13.33,13.54,264586,357907424,
2012/2/8 15:00,sse.600031,13.5,13.98,13.33,13.88,345461,471719424,
2012/2/9 15:00,sse.600031,13.87,13.94,13.62,13.77,257391,355270016,
2012/2/10 15:00,sse.600031,13.75,14.14,13.65,13.88,343922,480596896,
2012/2/13 15:00,sse.600031,13.75,14.03,13.66,13.84,264427,366057920,
2012/2/14 15:00,sse.600031,13.85,13.93,13.62,13.69,181226,248591712,
2012/2/15 15:00,sse.600031,13.63,13.9,13.63,13.87,199311,275337824,
2012/2/16 15:00,sse.600031,13.86,13.89,13.66,13.75,173427,238825600,
2012/2/17 15:00,sse.600031,13.86,13.93,13.7,13.85,171052,236642256,
2012/2/20 15:00,sse.600031,14,14.1,13.83,13.85,221260,308322144,
2012/2/21 15:00,sse.600031,13.87,13.91,13.7,13.9,149503,206435088,
2012/2/22 15:00,sse.600031,13.9,14.11,13.85,14.09,338830,475520064,
2012/2/23 15:00,sse.600031,14.1,14.5,14.1,14.25,375406,537478980,
2012/2/24 15:00,sse.600031,14.27,14.6,14.13,14.47,418122,601534720,
2012/2/27 15:00,sse.600031,14.54,14.85,14.5,14.51,490930,721863420,
2012/2/28 15:00,sse.600031,14.48,14.58,14.36,14.49,284802,411857248,
2012/2/29 15:00,sse.600031,14.61,14.8,14.48,14.58,391427,574317820,
2012/3/1 15:00,sse.600031,14.58,14.63,14.5,14.54,154316,224764784,
2012/3/2 15:00,sse.600031,14.54,14.85,14.53,14.84,356375,524950208,
2012/3/5 15:00,sse.600031,14.88,15.15,14.83,14.86,406919,609005950,
2012/3/6 15:00,sse.600031,14.81,14.81,14.4,14.42,278862,406224576,
2012/3/7 15:00,sse.600031,14.28,14.35,14.05,14.09,363519,516359296,
2012/3/8 15:00,sse.600031,14.13,14.44,14.13,14.25,225603,321981792,
2012/3/9 15:00,sse.600031,14.29,14.46,14.29,14.45,192135,276132320,
2012/3/12 15:00,sse.600031,14.45,14.47,14.21,14.34,198618,284743168,
2012/3/13 15:00,sse.600031,14.37,14.41,14.22,14.4,194366,278573248,
2012/3/14 15:00,sse.600031,14.55,14.78,13.99,14.04,576197,829335940,
2012/3/15 15:00,sse.600031,14.02,14.18,13.7,13.8,329159,457127072,
2012/3/16 15:00,sse.600031,13.79,14,13.71,13.94,166865,231632976,
2012/3/19 15:00,sse.600031,13.92,13.97,13.7,13.85,216530,298663200,
2012/3/20 15:00,sse.600031,13.87,13.88,13.55,13.58,211763,289638976,
2012/3/21 15:00,sse.600031,13.69,13.8,13.43,13.58,245024,332774880,
2012/3/22 15:00,sse.600031,13.61,13.72,13.48,13.6,148260,201562736,
2012/3/23 15:00,sse.600031,13.57,13.57,13.18,13.25,213387,284630496,
2012/3/26 15:00,sse.600031,13.25,13.43,13.2,13.39,132699,176766848,
2012/3/27 15:00,sse.600031,13.42,13.54,13.24,13.28,141277,189285712,
2012/3/28 15:00,sse.600031,13.28,13.3,12.72,12.85,204788,264840928,
2012/3/29 15:00,sse.600031,12.8,12.8,12.28,12.32,241033,301195264,
2012/3/30 15:00,sse.600031,12.35,12.46,12.16,12.27,193690,238154224,
2012/4/5 15:00,sse.600031,12.28,13.25,12.28,13.15,412731,534317184,
2012/4/6 15:00,sse.600031,13.16,13.3,13.08,13.14,251736,332386720,
2012/4/9 15:00,sse.600031,13.14,13.64,12.9,13.24,259746,348146400,
2012/4/10 15:00,sse.600031,13.15,13.68,13.11,13.65,316857,425521088,
2012/4/11 15:00,sse.600031,13.46,14.2,13.33,14,528492,735755330,
2012/4/12 15:00,sse.600031,14,14.17,13.91,14.09,348526,490433888,
2012/4/13 15:00,sse.600031,14.11,14.25,13.94,14.11,305921,431652960,
2012/4/16 15:00,sse.600031,14.1,14.13,13.93,14.04,172677,242417744,
2012/4/17 15:00,sse.600031,13.98,14.06,13.68,13.71,184944,255314112,
2012/4/18 15:00,sse.600031,13.8,14.72,13.8,14.57,610880,876825150,
2012/4/19 15:00,sse.600031,14.55,14.63,14.41,14.49,285808,414183264,
