time,code,open,high,low,close,volume,amount,open_interest
2012-01-04 15:00:00,sse.600006,3.15,3.17,3.08,3.09,20513.0,6424732.0,
2012-01-05 15:00:00,sse.600006,3.07,3.1,3.04,3.06,24261.0,7437452.0,
2012-01-06 15:00:00,sse.600006,3.06,3.07,3.01,3.06,22295.0,6785674.0,
2012-01-09 15:00:00,sse.600006,3.07,3.16,3.04,3.16,32923.0,10260935.0,
2012-01-10 15:00:00,sse.600006,3.17,3.28,3.15,3.27,59987.0,19310584.0,
2012-01-11 15:00:00,sse.600006,3.29,3.29,3.22,3.24,36887.0,11948160.0,
2012-01-12 15:00:00,sse.600006,3.23,3.26,3.2,3.22,23890.0,7724553.0,
2012-01-13 15:00:00,sse.600006,3.22,3.24,3.13,3.16,28667.0,9096331.0,
2012-01-16 15:00:00,sse.600006,3.16,3.16,3.1,3.12,16337.0,5118969.0,
2012-01-17 15:00:00,sse.600006,3.13,3.27,3.1,3.25,43970.0,14108027.0,
2012-01-18 15:00:00,sse.600006,3.26,3.29,3.2,3.2,45246.0,14664388.0,
2012-01-19 15:00:00,sse.600006,3.2,3.26,3.17,3.25,35469.0,11451110.0,
2012-01-20 15:00:00,sse.600006,3.25,3.28,3.23,3.27,33789.0,11022664.0,
2012-01-30 15:00:00,sse.600006,3.27,3.28,3.22,3.23,24263.0,7879031.0,
2012-01-31 15:00:00,sse.600006,3.22,3.24,3.18,3.2,17329.0,5552186.0,
2012-02-01 15:00:00,sse.600006,3.23,3.23,3.19,3.2,16571.0,5313027.0,
2012-02-02 15:00:00,sse.600006,3.19,3.24,3.18,3.24,27459.0,8814950.0,
2012-02-03 15:00:00,sse.600006,3.23,3.27,3.21,3.25,35146.0,11398627.0,
2012-02-06 15:00:00,sse.600006,3.25,3.27,3.24,3.25,30027.0,9771812.0,
2012-02-07 15:00:00,sse.600006,3.25,3.25,3.18,3.19,29438.0,9425372.0,
2012-02-08 15:00:00,sse.600006,3.2,3.25,3.18,3.25,33382.0,10762285.0,
2012-02-09 15:00:00,sse.600006,3.25,3.3,3.24,3.27,63897.0,20857744.0,
