time,code,open,high,low,close,volume,amount,open_interest
2012-01-04 15:00:00,sse.600030,9.79,9.85,9.56,9.56,354005.0,343726592.0,
2012-01-05 15:00:00,sse.600030,9.52,9.72,9.2,9.29,478352.0,453575488.0,
2012-01-06 15:00:00,sse.600030,9.19,9.43,9.04,9.39,555029.0,513423424.0,
2012-01-09 15:00:00,sse.600030,9.36,9.79,9.26,9.75,623061.0,596959870.0,
2012-01-10 15:00:00,sse.600030,9.79,10.25,9.71,10.12,844565.0,843167550.0,
2012-01-11 15:00:00,sse.600030,10.15,10.22,9.98,10.08,478367.0,482098304.0,
2012-01-12 15:00:00,sse.600030,10.09,10.15,9.99,10.03,363785.0,366106944.0,
2012-01-13 15:00:00,sse.600030,10.05,10.1,9.74,9.8,521583.0,515381248.0,
2012-01-16 15:00:00,sse.600030,10.0,10.08,9.81,9.83,458496.0,456755104.0,
2012-01-17 15:00:00,sse.600030,9.83,10.56,9.8,10.51,851844.0,870783490.0,
2012-01-18 15:00:00,sse.600030,10.45,10.95,10.4,10.47,843578.0,898240830.0,
2012-01-19 15:00:00,sse.600030,10.57,10.91,10.48,10.84,777699.0,837570050.0,
2012-01-20 15:00:00,sse.600030,10.88,11.09,10.76,11.01,787605.0,863555260.0,
2012-01-30 15:00:00,sse.600030,11.01,11.06,10.65,10.68,589045.0,642156990.0,
2012-01-31 15:00:00,sse.600030,10.69,10.78,10.57,10.69,388254.0,414370688.0,
2012-02-01 15:00:00,sse.600030,10.66,10.73,10.43,10.47,307916.0,325458496.0,
2012-02-02 15:00:00,sse.600030,10.52,10.81,10.4,10.8,480276.0,510173024.0,
2012-02-03 15:00:00,sse.600030,10.78,11.0,10.66,10.9,548721.0,594107200.0,
2012-02-06 15:00:00,sse.600030,10.93,11.01,10.75,10.84,393237.0,427710976.0,
2012-02-07 15:00:00,sse.600030,10.76,10.8,10.45,10.52,461101.0,486913600.0,
2012-02-08 15:00:00,sse.600030,10.53,11.07,10.45,10.95,695554.0,753610180.0,
2012-02-09 15:00:00,sse.600030,10.98,10.99,10.81,10.87,682237.0,744013250.0,
