time,code,open,high,low,close,volume,amount,open_interest
2012-01-04 15:00:00,sse.601898,9.08,9.13,8.51,8.56,136683.0,119485976.0,
2012-01-05 15:00:00,sse.601898,8.55,8.69,8.5,8.54,87668.0,75372408.0,
2012-01-06 15:00:00,sse.601898,8.59,8.68,8.47,8.67,65622.0,56201296.0,
2012-01-09 15:00:00,sse.601898,8.67,9.3,8.57,9.28,236060.0,214277312.0,
2012-01-10 15:00:00,sse.601898,9.22,9.68,9.2,9.57,274098.0,258917296.0,
2012-01-11 15:00:00,sse.601898,9.57,9.65,9.39,9.53,179074.0,170913872.0,
2012-01-12 15:00:00,sse.601898,9.5,9.7,9.45,9.52,132390.0,126858568.0,
2012-01-13 15:00:00,sse.601898,9.54,9.61,9.2,9.29,128869.0,121063808.0,
2012-01-16 15:00:00,sse.601898,9.23,9.5,9.17,9.18,111858.0,104261744.0,
2012-01-17 15:00:00,sse.601898,9.2,9.8,9.18,9.79,189259.0,181111024.0,
2012-01-18 15:00:00,sse.601898,9.71,9.84,9.45,9.47,156304.0,150940656.0,
2012-01-19 15:00:00,sse.601898,9.55,9.7,9.45,9.58,120313.0,115375128.0,
2012-01-20 15:00:00,sse.601898,9.65,9.69,9.55,9.66,100557.0,96942032.0,
2012-01-30 15:00:00,sse.601898,9.66,9.67,9.41,9.42,105258.0,100260864.0,
2012-01-31 15:00:00,sse.601898,9.42,9.53,9.34,9.4,114629.0,107762576.0,
2012-02-01 15:00:00,sse.601898,9.38,9.48,9.32,9.36,67666.0,63518256.0,
2012-02-02 15:00:00,sse.601898,9.4,9.61,9.31,9.6,126918.0,120558168.0,
2012-02-03 15:00:00,sse.601898,9.5,9.64,9.44,9.6,123399.0,117937640.0,
2012-02-06 15:00:00,sse.601898,9.68,9.8,9.62,9.7,115269.0,111919840.0,
2012-02-07 15:00:00,sse.601898,9.62,9.69,9.38,9.47,90075.0,85511608.0,
2012-02-08 15:00:00,sse.601898,9.47,9.87,9.43,9.82,166261.0,161677280.0,
2012-02-09 15:00:00,sse.601898,9.74,9.82,9.66,9.71,124149.0,121040984.0,
2012-02-10 15:00:00,sse.601898,9.72,9.79,9.59,9.66,97653.0,94718144.0,
2012-02-13 15:00:00,sse.601898,9.58,9.81,9.5,9.66,105036.0,101313816.0,
2012-02-14 15:00:00,sse.601898,9.6,9.69,9.48,9.55,106942.0,102074480.0,
2012-02-15 15:00:00,sse.601898,9.54,9.79,9.52,9.78,172997.0,167429504.0,
2012-02-16 15:00:00,sse.601898,9.72,9.73,9.5,9.62,166555.0,160023264.0,
2012-02-17 15:00:00,sse.601898,9.62,9.68,9.5,9.56,79848.0,76521840.0,
2012-02-20 15:00:00,sse.601898,9.68,9.82,9.6,9.71,189678.0,184503792.0,
2012-02-21 15:00:00,sse.601898,9.73,9.76,9.57,9.76,89220.0,86545912.0,
2012-02-22 15:00:00,sse.601898,9.76,9.93,9.7,9.92,171242.0,168539520.0,
2012-02-23 15:00:00,sse.601898,9.89,9.99,9.86,9.91,143992.0,142984288.0,
2012-02-24 15:00:00,sse.601898,9.96,10.17,9.92,10.11,227811.0,229987968.0,
2012-02-27 15:00:00,sse.601898,10.11,10.22,10.01,10.02,237616.0,240566576.0,
2012-02-28 15:00:00,sse.601898,10.02,10.05,9.85,9.95,161299.0,160636912.0,
2012-02-29 15:00:00,sse.601898,9.94,10.03,9.85,9.9,116879.0,116298336.0,
2012-03-01 15:00:00,sse.601898,9.82,9.95,9.82,9.88,68894.0,68101464.0,
2012-03-02 15:00:00,sse.601898,9.9,10.09,9.9,10.01,131961.0,131950600.0,
2012-03-05 15:00:00,sse.601898,10.0,10.04,9.9,9.91,101807.0,101399040.0,
2012-03-06 15:00:00,sse.601898,9.89,9.89,9.55,9.6,229252.0,221250096.0,
2012-03-07 15:00:00,sse.601898,9.53,9.58,9.43,9.48,107179.0,101852216.0,
2012-03-08 15:00:00,sse.601898,9.53,9.64,9.5,9.57,100515.0,96151544.0,
2012-03-09 15:00:00,sse.601898,9.61,9.75,9.56,9.73,139556.0,134871328.0,
2012-03-12 15:00:00,sse.601898,9.7,9.72,9.45,9.58,164511.0,157254864.0,
2012-03-13 15:00:00,sse.601898,9.59,9.67,9.49,9.64,155999.0,149430032.0,
2012-03-14 15:00:00,sse.601898,9.7,9.71,9.24,9.29,283705.0,269753216.0,
2012-03-15 15:00:00,sse.601898,9.27,9.38,9.04,9.11,203651.0,187487904.0,
2012-03-16 15:00:00,sse.601898,9.16,9.21,9.05,9.21,117872.0,107929552.0,
2012-03-19 15:00:00,sse.601898,9.2,9.28,9.16,9.22,149849.0,138286416.0,
2012-03-20 15:00:00,sse.601898,9.3,9.34,9.1,9.14,146879.0,135713696.0,
2012-03-21 15:00:00,sse.601898,9.2,9.35,9.13,9.21,172276.0,159031824.0,
2012-03-22 15:00:00,sse.601898,9.2,9.3,9.08,9.21,107606.0,98848184.0,
2012-03-23 15:00:00,sse.601898,9.16,9.22,9.06,9.12,82551.0,75347312.0,
2012-03-26 15:00:00,sse.601898,9.15,9.16,9.06,9.11,50575.0,46110728.0,
2012-03-27 15:00:00,sse.601898,9.16,9.23,9.14,9.16,60504.0,55518824.0,
2012-03-28 15:00:00,sse.601898,9.15,9.15,8.85,8.86,122061.0,109783992.0,
2012-03-29 15:00:00,sse.601898,8.85,8.91,8.77,8.85,99358.0,87820392.0,
2012-03-30 15:00:00,sse.601898,8.88,9.15,8.85,9.09,127400.0,114946304.0,
2012-04-05 15:00:00,sse.601898,9.05,9.2,8.93,9.16,166766.0,151094224.0,
2012-04-06 15:00:00,sse.601898,9.13,9.16,9.04,9.08,87880.0,79885640.0,
2012-04-09 15:00:00,sse.601898,9.03,9.03,8.89,8.9,64144.0,57444404.0,
2012-04-10 15:00:00,sse.601898,8.88,8.98,8.78,8.98,68391.0,60670668.0,
2012-04-12 15:00:00,sse.601898,8.9,9.2,8.89,9.19,207379.0,189005488.0,
2012-04-13 15:00:00,sse.601898,9.17,9.26,9.11,9.18,113683.0,104362240.0,
2012-04-16 15:00:00,sse.601898,9.16,9.2,9.09,9.14,76225.0,69626168.0,
2012-04-17 15:00:00,sse.601898,9.14,9.18,9.04,9.06,54954.0,50045792.0,
2012-04-18 15:00:00,sse.601898,9.12,9.3,9.07,9.26,128958.0,118955928.0,
2012-04-19 15:00:00,sse.601898,9.24,9.26,9.18,9.2,87352.0,80459976.0,
2012-04-20 15:00:00,sse.601898,9.18,9.32,9.13,9.29,127886.0,118353168.0,
2012-04-23 15:00:00,sse.601898,9.29,9.31,9.2,9.21,75146.0,69475240.0,
2012-04-24 15:00:00,sse.601898,9.2,9.35,9.06,9.18,119446.0,109868360.0,
2012-04-25 15:00:00,sse.601898,9.17,9.36,9.06,9.33,173856.0,160501968.0,
2012-04-26 15:00:00,sse.601898,9.32,9.52,9.29,9.41,205311.0,193849104.0,
2012-04-27 15:00:00,sse.601898,9.37,9.51,9.31,9.43,105265.0,99251720.0,
2012-05-02 15:00:00,sse.601898,9.61,9.95,9.51,9.8,361032.0,352242560.0,
2012-05-03 15:00:00,sse.601898,9.73,9.82,9.63,9.71,218169.0,211824752.0,
2012-05-04 15:00:00,sse.601898,9.66,9.75,9.61,9.66,158092.0,152964272.0,
2012-05-07 15:00:00,sse.601898,9.59,9.74,9.56,9.7,196078.0,189349520.0,
2012-05-08 15:00:00,sse.601898,9.69,9.73,9.58,9.68,146879.0,142062720.0,
2012-05-09 15:00:00,sse.601898,9.58,9.61,9.41,9.45,121906.0,115630912.0,
2012-05-10 15:00:00,sse.601898,9.46,9.52,9.43,9.46,55797.0,52852944.0,
2012-05-11 15:00:00,sse.601898,9.43,9.5,9.33,9.37,101798.0,95713472.0,
2012-05-14 15:00:00,sse.601898,9.45,9.48,9.18,9.2,151569.0,140749696.0,
2012-05-15 15:00:00,sse.601898,9.08,9.19,9.08,9.18,68447.0,62559828.0,
2012-05-16 15:00:00,sse.601898,9.13,9.18,9.02,9.03,89595.0,81425160.0,
2012-05-17 15:00:00,sse.601898,9.04,9.19,9.03,9.17,107343.0,97818856.0,
2012-05-18 15:00:00,sse.601898,9.1,9.11,9.03,9.05,64240.0,58211216.0,
2012-05-21 15:00:00,sse.601898,9.03,9.22,9.03,9.17,71272.0,65188744.0,
2012-05-22 15:00:00,sse.601898,9.21,9.23,9.14,9.22,88049.0,80902880.0,
2012-05-23 15:00:00,sse.601898,9.19,9.19,9.05,9.1,81565.0,74288936.0,
2012-05-24 15:00:00,sse.601898,9.13,9.17,9.06,9.13,59223.0,53976240.0,
2012-05-28 15:00:00,sse.601898,9.0,9.19,8.92,9.19,91184.0,82702368.0,
2012-05-29 15:00:00,sse.601898,9.14,9.29,9.13,9.25,128951.0,119028864.0,
2012-05-30 15:00:00,sse.601898,9.23,9.23,9.1,9.16,132428.0,121302568.0,
2012-05-31 15:00:00,sse.601898,9.09,9.1,9.02,9.03,105731.0,95724336.0,
2012-06-01 15:00:00,sse.601898,9.05,9.1,8.95,8.98,126841.0,114337120.0,
2012-06-04 15:00:00,sse.601898,8.84,8.89,8.78,8.79,120410.0,106285728.0,
2012-06-05 15:00:00,sse.601898,8.81,8.87,8.7,8.74,81633.0,71755448.0,
2012-06-06 15:00:00,sse.601898,8.74,8.8,8.68,8.72,98678.0,86354256.0,
