time,code,open,high,low,close,volume,amount,open_interest
2012/1/4 15:00,sse.600011,5.4,5.45,5.33,5.36,82119,44118668,
2012/1/5 15:00,sse.600011,5.35,5.41,5.23,5.25,104417,55854572,
2012/1/6 15:00,sse.600011,5.2,5.42,5.19,5.32,170731,90739960,
2012/1/9 15:00,sse.600011,5.33,5.53,5.28,5.44,260434,142607888,
2012/1/10 15:00,sse.600011,5.44,5.51,5.37,5.49,164986,89799760,
2012/1/11 15:00,sse.600011,5.47,5.52,5.32,5.39,150663,81922288,
2012/1/12 15:00,sse.600011,5.37,5.49,5.37,5.37,103741,56059312,
2012/1/13 15:00,sse.600011,5.38,5.42,5.17,5.34,67279,35476640,
2012/1/16 15:00,sse.600011,5.3,5.36,5.21,5.22,54735,28777516,
2012/1/17 15:00,sse.600011,5.19,5.73,5.19,5.49,66370,36495752,
2012/1/18 15:00,sse.600011,5.48,5.54,5.28,5.31,48464,26256884,
2012/1/19 15:00,sse.600011,5.31,5.5,5.28,5.36,39109,21162770,
2012/1/20 15:00,sse.600011,5.34,5.48,5.34,5.43,39866,21552762,
2012/1/30 15:00,sse.600011,5.42,5.53,5.33,5.37,121010,66232028,
2012/1/31 15:00,sse.600011,5.31,5.62,5.29,5.5,199360,109831400,
2012/2/1 15:00,sse.600011,5.49,5.6,5.45,5.5,189314,104627800,
2012/2/2 15:00,sse.600011,5.48,5.55,5.43,5.54,68384,37544148,
2012/2/3 15:00,sse.600011,5.54,5.54,5.47,5.52,60693,33458176,
2012/2/6 15:00,sse.600011,5.52,5.57,5.42,5.46,118232,65120944,
2012/2/7 15:00,sse.600011,5.41,5.45,5.36,5.39,39652,21380570,
2012/2/8 15:00,sse.600011,5.36,5.53,5.35,5.49,60346,33039188,
2012/2/9 15:00,sse.600011,5.5,5.52,5.46,5.51,27307,15001084,
2012/2/10 15:00,sse.600011,5.5,5.51,5.38,5.43,109456,59436900,
2012/2/13 15:00,sse.600011,5.42,5.5,5.32,5.45,89260,48156708,
2012/2/14 15:00,sse.600011,5.43,5.43,5.37,5.38,75123,40575880,
2012/2/15 15:00,sse.600011,5.35,5.41,5.31,5.38,66895,35919680,
2012/2/16 15:00,sse.600011,5.38,5.62,5.31,5.5,215478,117206768,
2012/2/17 15:00,sse.600011,5.5,5.54,5.4,5.47,81033,44304504,
2012/2/20 15:00,sse.600011,5.46,5.49,5.38,5.4,41055,22336310,
2012/2/22 15:00,sse.600011,5.4,5.45,5.31,5.42,60934,32670744,
2012/2/23 15:00,sse.600011,5.42,5.42,5.33,5.35,69500,37293524,
2012/2/24 15:00,sse.600011,5.34,5.4,5.34,5.38,53832,28883474,
2012/2/27 15:00,sse.600011,5.38,5.5,5.38,5.44,163136,88947808,
2012/2/28 15:00,sse.600011,5.43,5.5,5.39,5.49,82760,45162560,
2012/2/29 15:00,sse.600011,5.48,5.5,5.41,5.47,64810,35332280,
2012/3/1 15:00,sse.600011,5.44,5.52,5.43,5.51,200817,110277088,
2012/3/2 15:00,sse.600011,5.52,5.53,5.44,5.5,115309,63127536,
2012/3/5 15:00,sse.600011,5.52,5.54,5.26,5.3,362743,193680768,
2012/3/6 15:00,sse.600011,5.29,5.32,5.24,5.26,79341,41770248,
2012/3/7 15:00,sse.600011,5.22,5.29,5.17,5.21,134589,70128432,
2012/3/8 15:00,sse.600011,5.23,5.26,5.16,5.21,117299,60999840,
2012/3/9 15:00,sse.600011,5.21,5.48,5.18,5.44,219943,116978032,
2012/3/12 15:00,sse.600011,5.44,5.56,5.42,5.45,264404,145094336,
2012/3/13 15:00,sse.600011,5.42,5.51,5.42,5.5,108499,59421816,
2012/3/14 15:00,sse.600011,5.5,5.52,5.18,5.3,171236,92706480,
2012/3/15 15:00,sse.600011,5.3,5.34,5.21,5.31,72106,38037200,
2012/3/16 15:00,sse.600011,5.29,5.48,5,5.41,226603,121969664,
2012/3/19 15:00,sse.600011,5.37,5.42,5.25,5.41,120926,64276440,
2012/3/20 15:00,sse.600011,5.4,5.55,5.36,5.48,150457,82262320,
2012/3/21 15:00,sse.600011,5.47,5.48,5.18,5.26,138415,73153960,
2012/3/22 15:00,sse.600011,5.26,5.26,5.12,5.2,101133,52198896,
2012/3/23 15:00,sse.600011,5.18,5.2,5.12,5.17,31330,16157119,
2012/3/26 15:00,sse.600011,5.15,5.21,5.09,5.15,37639,19354228,
2012/3/27 15:00,sse.600011,5.14,5.18,5.1,5.13,39132,20054020,
2012/3/28 15:00,sse.600011,5.13,5.14,4.96,5.06,48761,24635136,
2012/3/29 15:00,sse.600011,5.01,5.11,5.01,5.09,35191,17820444,
2012/3/30 15:00,sse.600011,5.06,5.14,5.06,5.1,15018,7644013,
2012/4/5 15:00,sse.600011,5.1,5.17,5.05,5.15,35688,18262796,
2012/4/6 15:00,sse.600011,5.13,5.16,5.1,5.15,18985,9734269,
2012/4/9 15:00,sse.600011,5.15,5.15,5.11,5.12,11068,5678412,
2012/4/10 15:00,sse.600011,5.12,5.12,5.05,5.11,15344,7799649,
2012/4/11 15:00,sse.600011,5.1,5.12,5.04,5.06,28524,14489987,
2012/4/12 15:00,sse.600011,5.06,5.23,5.04,5.23,55398,28739160,
2012/4/13 15:00,sse.600011,5.22,5.28,5.16,5.25,26705,13989047,
2012/4/16 15:00,sse.600011,5.2,5.31,5.15,5.3,32070,16861372,
